****************** Hamming Weight = 3 ******************
Iteration 1: NoMOD % = 81.25%
Iteration 2: NoMOD % = 62.59%
Iteration 3: NoMOD % = 62.64%
Iteration 4: NoMOD % = 69.89%
Iteration 5: NoMOD % = 69.99%
Iteration 6: NoMOD % = 62.64%
Iteration 7: NoMOD % = 69.93%
Iteration 8: NoMOD % = 69.82%
Iteration 9: NoMOD % = 62.70%
Iteration 10: NoMOD % = 62.56%
Average NoMOD % for HW=3: 67.40%



****************** Hamming Weight = 4 ******************
Iteration 1: NoMOD % = 60.69%
Iteration 2: NoMOD % = 62.38%
Iteration 3: NoMOD % = 62.37%
Iteration 4: NoMOD % = 62.54%
Iteration 5: NoMOD % = 69.60%
Iteration 6: NoMOD % = 62.28%
Iteration 7: NoMOD % = 57.04%
Iteration 8: NoMOD % = 62.47%
Iteration 9: NoMOD % = 62.39%
Iteration 10: NoMOD % = 62.29%
Average NoMOD % for HW=4: 62.41%



****************** Hamming Weight = 5 ******************
Iteration 1: NoMOD % = 56.86%
Iteration 2: NoMOD % = 52.70%
Iteration 3: NoMOD % = 52.72%
Iteration 4: NoMOD % = 62.05%
Iteration 5: NoMOD % = 62.18%
Iteration 6: NoMOD % = 68.94%
Iteration 7: NoMOD % = 52.71%
Iteration 8: NoMOD % = 68.98%
Iteration 9: NoMOD % = 52.77%
Iteration 10: NoMOD % = 62.22%
Average NoMOD % for HW=5: 59.21%



****************** Hamming Weight = 6 ******************
Iteration 1: NoMOD % = 52.55%
Iteration 2: NoMOD % = 52.56%
Iteration 3: NoMOD % = 52.58%
Iteration 4: NoMOD % = 62.01%
Iteration 5: NoMOD % = 52.64%
Iteration 6: NoMOD % = 68.93%
Iteration 7: NoMOD % = 61.50%
Iteration 8: NoMOD % = 49.24%
Iteration 9: NoMOD % = 49.23%
Iteration 10: NoMOD % = 52.55%
Average NoMOD % for HW=6: 55.38%



****************** Hamming Weight = 7 ******************
Iteration 1: NoMOD % = 56.45%
Iteration 2: NoMOD % = 46.33%
Iteration 3: NoMOD % = 46.39%
Iteration 4: NoMOD % = 52.43%
Iteration 5: NoMOD % = 52.48%
Iteration 6: NoMOD % = 47.96%
Iteration 7: NoMOD % = 56.60%
Iteration 8: NoMOD % = 52.44%
Iteration 9: NoMOD % = 52.50%
Iteration 10: NoMOD % = 49.20%
Average NoMOD % for HW=7: 51.28%



****************** Hamming Weight = 8 ******************
Iteration 1: NoMOD % = 49.10%
Iteration 2: NoMOD % = 46.14%
Iteration 3: NoMOD % = 46.32%
Iteration 4: NoMOD % = 52.19%
Iteration 5: NoMOD % = 52.47%
Iteration 6: NoMOD % = 48.98%
Iteration 7: NoMOD % = 52.37%
Iteration 8: NoMOD % = 48.87%
Iteration 9: NoMOD % = 49.03%
Iteration 10: NoMOD % = 46.22%
Average NoMOD % for HW=8: 49.17%



****************** Hamming Weight = 9 ******************
Iteration 1: NoMOD % = 56.12%
Iteration 2: NoMOD % = 43.87%
Iteration 3: NoMOD % = 49.01%
Iteration 4: NoMOD % = 46.21%
Iteration 5: NoMOD % = 46.58%
Iteration 6: NoMOD % = 46.18%
Iteration 7: NoMOD % = 43.79%
Iteration 8: NoMOD % = 43.93%
Iteration 9: NoMOD % = 46.22%
Iteration 10: NoMOD % = 48.90%
Average NoMOD % for HW=9: 47.08%



****************** Hamming Weight = 10 ******************
Iteration 1: NoMOD % = 43.86%
Iteration 2: NoMOD % = 43.80%
Iteration 3: NoMOD % = 41.84%
Iteration 4: NoMOD % = 46.14%
Iteration 5: NoMOD % = 46.19%
Iteration 6: NoMOD % = 46.11%
Iteration 7: NoMOD % = 52.07%
Iteration 8: NoMOD % = 43.81%
Iteration 9: NoMOD % = 48.81%
Iteration 10: NoMOD % = 51.96%
Average NoMOD % for HW=10: 46.46%



****************** Hamming Weight = 11 ******************
Iteration 1: NoMOD % = 55.56%
Iteration 2: NoMOD % = 41.66%
Iteration 3: NoMOD % = 48.25%
Iteration 4: NoMOD % = 52.03%
Iteration 5: NoMOD % = 40.47%
Iteration 6: NoMOD % = 47.86%
Iteration 7: NoMOD % = 40.07%
Iteration 8: NoMOD % = 43.73%
Iteration 9: NoMOD % = 45.88%
Iteration 10: NoMOD % = 41.71%
Average NoMOD % for HW=11: 45.72%



****************** Hamming Weight = 12 ******************
Iteration 1: NoMOD % = 45.97%
Iteration 2: NoMOD % = 37.10%
Iteration 3: NoMOD % = 45.21%
Iteration 4: NoMOD % = 43.77%
Iteration 5: NoMOD % = 39.99%
Iteration 6: NoMOD % = 40.00%
