****************** Hamming Weight = 4 ******************
Iteration 1: NoMOD % = 62.19%
Iteration 2: NoMOD % = 62.38%
Iteration 3: NoMOD % = 57.09%
Iteration 4: NoMOD % = 80.08%
Iteration 5: NoMOD % = 62.39%
Iteration 6: NoMOD % = 62.28%
Iteration 7: NoMOD % = 62.54%
Iteration 8: NoMOD % = 62.45%
Iteration 9: NoMOD % = 56.95%
Iteration 10: NoMOD % = 62.40%
Average NoMOD % for HW=4: 63.08%



****************** Hamming Weight = 5 ******************
Iteration 1: NoMOD % = 56.86%
Iteration 2: NoMOD % = 68.99%
Iteration 3: NoMOD % = 69.42%
Iteration 4: NoMOD % = 67.99%
Iteration 5: NoMOD % = 62.17%
Iteration 6: NoMOD % = 62.21%
Iteration 7: NoMOD % = 56.74%
Iteration 8: NoMOD % = 52.76%
Iteration 9: NoMOD % = 69.41%
Iteration 10: NoMOD % = 61.86%
Average NoMOD % for HW=5: 62.84%



****************** Hamming Weight = 6 ******************
Iteration 1: NoMOD % = 52.61%
Iteration 2: NoMOD % = 52.56%
Iteration 3: NoMOD % = 56.48%
Iteration 4: NoMOD % = 49.36%
Iteration 5: NoMOD % = 52.61%
Iteration 6: NoMOD % = 53.26%
Iteration 7: NoMOD % = 52.60%
Iteration 8: NoMOD % = 52.64%
Iteration 9: NoMOD % = 52.67%
Iteration 10: NoMOD % = 52.54%
Average NoMOD % for HW=6: 52.73%



****************** Hamming Weight = 7 ******************
Iteration 1: NoMOD % = 52.51%
Iteration 2: NoMOD % = 52.49%
Iteration 3: NoMOD % = 52.29%
Iteration 4: NoMOD % = 56.52%
Iteration 5: NoMOD % = 56.58%
Iteration 6: NoMOD % = 49.03%
Iteration 7: NoMOD % = 49.16%
Iteration 8: NoMOD % = 49.05%
Iteration 9: NoMOD % = 52.44%
Iteration 10: NoMOD % = 49.08%
Average NoMOD % for HW=7: 51.91%



****************** Hamming Weight = 8 ******************
Iteration 1: NoMOD % = 48.34%
Iteration 2: NoMOD % = 49.00%
Iteration 3: NoMOD % = 49.08%
Iteration 4: NoMOD % = 56.38%
Iteration 5: NoMOD % = 46.27%
Iteration 6: NoMOD % = 45.83%
Iteration 7: NoMOD % = 43.97%
Iteration 8: NoMOD % = 56.55%
Iteration 9: NoMOD % = 46.33%
Iteration 10: NoMOD % = 49.08%
Average NoMOD % for HW=8: 49.08%



****************** Hamming Weight = 9 ******************
Iteration 1: NoMOD % = 45.46%
Iteration 2: NoMOD % = 52.11%
Iteration 3: NoMOD % = 52.12%
Iteration 4: NoMOD % = 48.64%
Iteration 5: NoMOD % = 43.90%
Iteration 6: NoMOD % = 48.92%
Iteration 7: NoMOD % = 48.87%
Iteration 8: NoMOD % = 46.20%
Iteration 9: NoMOD % = 48.97%
Iteration 10: NoMOD % = 52.04%
Average NoMOD % for HW=9: 48.72%



