HammingWeight  OriginalSamples  FilteredSamples  OriginalNoMod%  FilteredNoMod%  Improvement%
-------------------------------------------------------------------------------------------
  3         3297090            4859           68.79           79.44           10.65
  4         3297090            6460           64.65           73.20            8.56
  5         3297090            8018           57.39           62.72            5.32
  6         3297090            9621           57.76           63.70            5.94
  7         3297090           11223           54.21           58.96            4.74
  8         3297090           12926           49.07           52.23            3.16
  9         3297090           14445           47.16           50.05            2.90
 10         3297090           16124           46.80           49.74            2.94
 11         3297090           17724           43.70           46.08            2.38
 12         3297090           19416           43.92           46.31            2.38
 13         3297090           20906           42.33           44.31            1.98
 14         3297090           22529           39.55           41.01            1.46
 15         3297090           24150           38.63           39.95            1.32
 16         3297090           25809           36.23           37.23            1.00
 17         3297090           27380           36.44           37.63            1.19
 18         3297090           28810           35.85           36.72            0.87
 19         3297090           30514           34.76           35.69            0.93
 20         3297090           32052           33.41           33.92            0.51
 21         3297090           33733           33.83           34.37            0.54
 22         3297090           35390           32.56           33.14            0.58
 23         3297090           36758           32.72           33.45            0.73
 24         3297090           38382           30.76           31.12            0.35
 25         3297090           39917           31.23           31.64            0.42
 26         3297090           41361           30.63           31.07            0.44
 27         3297090           42655           30.83           31.29            0.46
 28         3297090           44141           29.87           30.28            0.40
 29         3297090           45588           27.93           28.10            0.16
 30         3297090           46722           28.62           28.95            0.33
 31         3297090           47919           28.37           28.55            0.18
 32         3297090           49400           27.06           27.22            0.16
 33         3297090           50404           26.59           26.83            0.24
 34         3297090           51437           26.01           26.07            0.06
 35         3297090           52620           26.44           26.63            0.19
 36         3297090           53793           25.83           25.94            0.11
 37         3297090           54733           25.64           25.83            0.20
 38         3297090           55671           26.25           26.48            0.23
 39         3297090           56604           25.16           25.28            0.12
 40         3297090           57474           24.45           24.51            0.06
