****************** Hamming Weight = 3 ******************
Iteration 1: NoMOD % = 70.10%
Iteration 2: NoMOD % = 81.72%
Iteration 3: NoMOD % = 81.86%
Iteration 4: NoMOD % = 62.78%
Iteration 5: NoMOD % = 70.20%
Iteration 6: NoMOD % = 62.73%
Iteration 7: NoMOD % = 70.18%
Iteration 8: NoMOD % = 62.84%
Iteration 9: NoMOD % = 62.87%
Iteration 10: NoMOD % = 70.10%
Average NoMOD % for HW=3: 69.54%



****************** Hamming Weight = 4 ******************
Iteration 1: NoMOD % = 69.91%
Iteration 2: NoMOD % = 57.08%
Iteration 3: NoMOD % = 57.12%
Iteration 4: NoMOD % = 81.38%
Iteration 5: NoMOD % = 69.92%
Iteration 6: NoMOD % = 69.73%
Iteration 7: NoMOD % = 62.64%
Iteration 8: NoMOD % = 57.16%
Iteration 9: NoMOD % = 62.23%
Iteration 10: NoMOD % = 69.88%
Average NoMOD % for HW=4: 65.71%



****************** Hamming Weight = 5 ******************
Iteration 1: NoMOD % = 57.02%
Iteration 2: NoMOD % = 52.83%
Iteration 3: NoMOD % = 52.85%
Iteration 4: NoMOD % = 52.78%
Iteration 5: NoMOD % = 69.69%
Iteration 6: NoMOD % = 69.67%
Iteration 7: NoMOD % = 62.46%
Iteration 8: NoMOD % = 62.36%
Iteration 9: NoMOD % = 69.85%
Iteration 10: NoMOD % = 62.41%
Average NoMOD % for HW=5: 61.19%



****************** Hamming Weight = 6 ******************
Iteration 1: NoMOD % = 56.54%
Iteration 2: NoMOD % = 52.67%
Iteration 3: NoMOD % = 56.82%
Iteration 4: NoMOD % = 62.31%
Iteration 5: NoMOD % = 60.77%
Iteration 6: NoMOD % = 49.33%
Iteration 7: NoMOD % = 56.96%
Iteration 8: NoMOD % = 56.82%
Iteration 9: NoMOD % = 56.67%
Iteration 10: NoMOD % = 62.30%
Average NoMOD % for HW=6: 57.12%



****************** Hamming Weight = 7 ******************
Iteration 1: NoMOD % = 56.71%
Iteration 2: NoMOD % = 46.46%
Iteration 3: NoMOD % = 49.31%
Iteration 4: NoMOD % = 46.41%
Iteration 5: NoMOD % = 52.63%
Iteration 6: NoMOD % = 49.27%
Iteration 7: NoMOD % = 52.60%
Iteration 8: NoMOD % = 52.37%
Iteration 9: NoMOD % = 46.45%
Iteration 10: NoMOD % = 52.58%
Average NoMOD % for HW=7: 50.48%



****************** Hamming Weight = 8 ******************
Iteration 1: NoMOD % = 49.19%
Iteration 2: NoMOD % = 56.70%
Iteration 3: NoMOD % = 46.38%
Iteration 4: NoMOD % = 52.50%
Iteration 5: NoMOD % = 49.17%
Iteration 6: NoMOD % = 49.19%
Iteration 7: NoMOD % = 49.19%
Iteration 8: NoMOD % = 49.06%
Iteration 9: NoMOD % = 46.35%
Iteration 10: NoMOD % = 46.33%
Average NoMOD % for HW=8: 49.41%



****************** Hamming Weight = 9 ******************
Iteration 1: NoMOD % = 43.98%
Iteration 2: NoMOD % = 49.92%
Iteration 3: NoMOD % = 49.10%
Iteration 4: NoMOD % = 41.94%
Iteration 5: NoMOD % = 48.89%
Iteration 6: NoMOD % = 43.96%
Iteration 7: NoMOD % = 49.07%
Iteration 8: NoMOD % = 49.06%
Iteration 9: NoMOD % = 46.32%
Iteration 10: NoMOD % = 51.29%
Average NoMOD % for HW=9: 47.35%



****************** Hamming Weight = 10 ******************
Iteration 1: NoMOD % = 49.24%
Iteration 2: NoMOD % = 41.87%
Iteration 3: NoMOD % = 46.04%
Iteration 4: NoMOD % = 46.22%
Iteration 5: NoMOD % = 52.20%
Iteration 6: NoMOD % = 43.92%
Iteration 7: NoMOD % = 48.99%
Iteration 8: NoMOD % = 44.19%
Iteration 9: NoMOD % = 40.16%
Iteration 10: NoMOD % = 48.24%
