HammingWeight  OriginalSamples  FilteredSamples  OriginalNoMod%  FilteredNoMod%  Improvement%
-------------------------------------------------------------------------------------------
  3         3999039           11715           69.54           80.81           11.27
  4         3999039           15660           65.71           75.44            9.73
  5         3999039           19593           61.19           69.04            7.84
  6         3999039           23451           57.12           63.06            5.94
  7         3999039           27363           50.48           54.54            4.06
  8         3999039           31189           49.41           53.25            3.84
  9         3999039           35139           47.35           50.80            3.45
 10         3999039           38981           46.11           49.27            3.16
 11         3999039           42919           46.27           49.47            3.20
 12         3999039           46829           43.85           46.45            2.60
 13         3999039           50908           41.22           43.42            2.20
 14         3999039           54708           40.97           43.24            2.27
 15         3999039           58558           39.07           41.03            1.95
 16         3999039           62585           37.16           38.96            1.80
 17         3999039           66304           38.27           40.21            1.95
 18         3999039           70114           35.92           37.44            1.52
 19         3999039           74130           35.39           36.97            1.58
 20         3999039           77992           35.50           37.04            1.53
 21         3999039           81984           33.36           34.72            1.36
 22         3999039           85657           32.59           33.82            1.24
 23         3999039           89431           33.88           35.34            1.46
 24         3999039           93108           31.78           33.01            1.23
 25         3999039           96762           31.28           32.53            1.25
 26         3999039          100567           31.32           32.51            1.20
 27         3999039          103856           30.98           32.14            1.16
 28         3999039          107163           29.75           30.80            1.05
 29         3999039          110554           29.69           30.85            1.17
 30         3999039          113967           28.18           29.23            1.05
 31         3999039          116982           28.08           29.10            1.02
 32         3999039          119956           27.47           28.54            1.07
 33         3999039          123029           27.89           28.99            1.10
 34         3999039          125892           28.08           29.11            1.03
 35         3999039          128425           27.40           28.47            1.07
 36         3999039          131097           26.83           27.80            0.96
 37         3999039          133764           26.02           27.03            1.01
 38         3999039          136092           26.20           27.15            0.95
 39         3999039          138470           25.30           26.22            0.92
 40         3999039          140876           25.29           26.24            0.95
