****************** Hamming Weight = 3 ******************
Iteration 1: NoMOD % = 62.68%
Iteration 2: NoMOD % = 62.67%
Iteration 3: NoMOD % = 62.73%
Iteration 4: NoMOD % = 62.65%
Iteration 5: NoMOD % = 62.67%
Iteration 6: NoMOD % = 62.64%
Iteration 7: NoMOD % = 62.63%
Iteration 8: NoMOD % = 62.66%
Iteration 9: NoMOD % = 62.80%
Iteration 10: NoMOD % = 62.65%
Average NoMOD % for HW=3: 62.68%



****************** Hamming Weight = 4 ******************
Iteration 1: NoMOD % = 57.10%
Iteration 2: NoMOD % = 57.09%
Iteration 3: NoMOD % = 57.05%
Iteration 4: NoMOD % = 57.09%
Iteration 5: NoMOD % = 57.07%
Iteration 6: NoMOD % = 57.01%
Iteration 7: NoMOD % = 57.06%
Iteration 8: NoMOD % = 57.14%
Iteration 9: NoMOD % = 57.02%
Iteration 10: NoMOD % = 57.05%
Average NoMOD % for HW=4: 57.07%



****************** Hamming Weight = 5 ******************
Iteration 1: NoMOD % = 52.73%
Iteration 2: NoMOD % = 52.77%
Iteration 3: NoMOD % = 52.73%
Iteration 4: NoMOD % = 52.72%
Iteration 5: NoMOD % = 52.77%
Iteration 6: NoMOD % = 52.77%
Iteration 7: NoMOD % = 52.73%
Iteration 8: NoMOD % = 52.75%
Iteration 9: NoMOD % = 52.80%
Iteration 10: NoMOD % = 52.72%
Average NoMOD % for HW=5: 52.75%



****************** Hamming Weight = 6 ******************
Iteration 1: NoMOD % = 49.25%
Iteration 2: NoMOD % = 49.25%
Iteration 3: NoMOD % = 49.28%
Iteration 4: NoMOD % = 49.28%
Iteration 5: NoMOD % = 49.33%
Iteration 6: NoMOD % = 49.28%
Iteration 7: NoMOD % = 49.33%
Iteration 8: NoMOD % = 49.28%
Iteration 9: NoMOD % = 49.31%
Iteration 10: NoMOD % = 49.29%
Average NoMOD % for HW=6: 49.29%



****************** Hamming Weight = 7 ******************
Iteration 1: NoMOD % = 46.35%
Iteration 2: NoMOD % = 46.46%
Iteration 3: NoMOD % = 46.41%
Iteration 4: NoMOD % = 46.39%
Iteration 5: NoMOD % = 46.39%
Iteration 6: NoMOD % = 46.38%
Iteration 7: NoMOD % = 46.43%
Iteration 8: NoMOD % = 46.41%
Iteration 9: NoMOD % = 46.44%
Iteration 10: NoMOD % = 46.44%
Average NoMOD % for HW=7: 46.41%



****************** Hamming Weight = 8 ******************
Iteration 1: NoMOD % = 43.98%
Iteration 2: NoMOD % = 44.02%
Iteration 3: NoMOD % = 44.04%
Iteration 4: NoMOD % = 44.01%
Iteration 5: NoMOD % = 44.04%
Iteration 6: NoMOD % = 44.02%
Iteration 7: NoMOD % = 44.02%
Iteration 8: NoMOD % = 43.96%
Iteration 9: NoMOD % = 43.98%
Iteration 10: NoMOD % = 44.01%
Average NoMOD % for HW=8: 44.01%



****************** Hamming Weight = 9 ******************
Iteration 1: NoMOD % = 41.94%
Iteration 2: NoMOD % = 41.93%
Iteration 3: NoMOD % = 41.91%
Iteration 4: NoMOD % = 41.93%
Iteration 5: NoMOD % = 41.91%
Iteration 6: NoMOD % = 41.93%
Iteration 7: NoMOD % = 41.95%
Iteration 8: NoMOD % = 41.85%
Iteration 9: NoMOD % = 41.88%
Iteration 10: NoMOD % = 41.93%
Average NoMOD % for HW=9: 41.92%



****************** Hamming Weight = 10 ******************
Iteration 1: NoMOD % = 40.11%
Iteration 2: NoMOD % = 40.10%
Iteration 3: NoMOD % = 40.13%
Iteration 4: NoMOD % = 40.15%
Iteration 5: NoMOD % = 40.14%
Iteration 6: NoMOD % = 40.16%
Iteration 7: NoMOD % = 40.12%
Iteration 8: NoMOD % = 40.15%
Iteration 9: NoMOD % = 40.12%
Iteration 10: NoMOD % = 40.10%
Average NoMOD % for HW=10: 40.13%



****************** Hamming Weight = 11 ******************
Iteration 1: NoMOD % = 38.47%
Iteration 2: NoMOD % = 38.50%
Iteration 3: NoMOD % = 38.52%
Iteration 4: NoMOD % = 38.53%
Iteration 5: NoMOD % = 38.55%
Iteration 6: NoMOD % = 38.54%
Iteration 7: NoMOD % = 38.51%
Iteration 8: NoMOD % = 38.55%
Iteration 9: NoMOD % = 38.54%
