HammingWeight  OriginalSamples  FilteredSamples  OriginalNoMod%  FilteredNoMod%  Improvement%
-------------------------------------------------------------------------------------------
  3         3999220          117232           62.68           70.32            7.63
  4         3999220          156261           57.07           62.81            5.74
  5         3999220          195541           52.76           57.23            4.47
  6         3999220          234192           49.27           52.93            3.65
  7         3999220          273348           46.41           49.41            3.00
  8         3999220          312367           43.99           46.63            2.64
  9         3999220          351588           41.92           44.23            2.31
 10         3999220          390261           40.11           42.12            2.02
 11         3999220          429295           38.52           40.30            1.79
 12         3999220          468743           37.11           38.75            1.64
 13         3999220          507680           35.84           37.35            1.50
 14         3999220          546256           34.68           36.05            1.36
 15         3999220          585574           33.67           34.96            1.30
 16         3999220          624343           32.69           33.91            1.22
 17         3999220          663071           31.82           32.97            1.15
 18         3999220          700513           31.00           32.05            1.06
 19         3999220          737729           30.26           31.28            1.03
 20         3999220          774986           29.54           30.49            0.95
 21         3999220          810996           28.90           29.84            0.94
 22         3999220          845622           28.29           29.18            0.90
 23         3999220          879132           27.71           28.57            0.86
 24         3999220          912039           27.16           28.01            0.85
 25         3999220          943304           26.66           27.48            0.82
 26         3999220          973335           26.17           26.94            0.77
 27         3999220         1001736           25.70           26.47            0.77
 28         3999220         1029525           25.28           26.03            0.75
 29         3999220         1055172           24.87           25.60            0.74
 30         3999220         1080626           24.49           25.21            0.72
 31         3999220         1104228           24.10           24.82            0.71
 32         3999220         1127331           23.74           24.47            0.72
 33         3999220         1148846           23.41           24.10            0.70
 34         3999220         1168400           23.07           23.75            0.68
 35         3999220         1188363           22.75           23.44            0.69
 36         3999220         1206364           22.46           23.13            0.67
 37         3999220         1223952           22.17           22.82            0.66
 38         3999220         1240744           21.88           22.54            0.66
 39         3999220         1256854           21.62           22.29            0.67
 40         3999220         1271736           21.35           21.99            0.64
