HammingWeight  OriginalSamples  FilteredSamples  OriginalNoMod%  FilteredNoMod%  Improvement%
-------------------------------------------------------------------------------------------
  3         3999220           23366           62.68           70.07            7.39
  4         3999220           31228           57.07           62.43            5.36
  5         3999220           39072           52.75           56.96            4.21
  6         3999220           47007           49.29           52.64            3.35
  7         3999220           54654           46.41           49.09            2.68
  8         3999220           62457           44.01           46.29            2.28
  9         3999220           70352           41.92           43.88            1.96
 10         3999220           78133           40.13           41.83            1.71
 11         3999220           85954           38.53           39.80            1.27
 12         3999220           93832           37.12           38.38            1.26
 13         3999220          101467           35.84           36.92            1.08
 14         3999220          109477           34.68           35.55            0.87
 15         3999220          117032           33.65           34.57            0.92
 16         3999220          124799           32.69           33.51            0.81
 17         3999220          132819           31.81           32.51            0.70
 18         3999220          140320           31.01           31.59            0.58
 19         3999220          148031           30.25           30.81            0.55
 20         3999220          155062           29.54           30.03            0.48
 21         3999220          162497           28.91           29.28            0.38
 22         3999220          169914           28.29           28.58            0.30
 23         3999220          176570           27.71           28.04            0.33
 24         3999220          183643           27.17           27.41            0.24
 25         3999220          189938           26.66           26.91            0.25
 26         3999220          196170           26.19           26.44            0.25
 27         3999220          202632           25.73           25.89            0.16
 28         3999220          208270           25.29           25.45            0.16
 29         3999220          213650           24.87           25.09            0.22
 30         3999220          219130           24.47           24.71            0.24
 31         3999220          224450           24.11           24.17            0.06
 32         3999220          229104           23.74           23.90            0.15
 33         3999220          233528           23.41           23.55            0.14
 34         3999220          237769           23.09           23.14            0.05
 35         3999220          241897           22.76           22.91            0.14
 36         3999220          246243           22.46           22.56            0.09
 37         3999220          250037           22.16           22.21            0.05
 38         3999220          253723           21.89           22.06            0.17
 39         3999220          257102           21.63           21.71            0.08
 40         3999220          260556           21.35           21.41            0.06
